protocol,dataset,strict,inference,reliable_group_ids,g2_status,g3_classification,variant,mse,mae,n,mse_mean,mse_std,mae_mean,mae_std,seed_count,apn_mse,relative_mse_gain_vs_apn
release_parity,HumanActivity,false,seed_descriptive_only,false,NOT_APPLICABLE,safety-inconclusive,APN,0.042168090672593486,0.11603407940143985,29550,0.04216809067259346,0.00009809493635658126,0.11603407940143987,0.0006515273643986917,5,0.042168090672593486,0
release_parity,HumanActivity,false,seed_descriptive_only,false,NOT_APPLICABLE,safety-inconclusive,SLRH,0.042314894898133934,0.11653213760728348,29550,0.04231489489813396,0.00010211530090244278,0.11653213760728347,0.0006510521340404314,5,0.042168090672593486,-0.0034814055651768224
release_parity,HumanActivity,false,seed_descriptive_only,false,NOT_APPLICABLE,safety-inconclusive,CFG,0.04233002495966325,0.11651699070898869,29550,0.04233002495966327,0.0000873758642109534,0.11651699070898869,0.0005227307137321429,5,0.042168090672593486,-0.0038402091365026636
release_parity,HumanActivity,false,seed_descriptive_only,false,NOT_APPLICABLE,safety-inconclusive,Full,0.042334320244086704,0.11653915389622575,29550,0.042334320244086725,0.00008469581172699511,0.11653915389622575,0.0005079242441261168,5,0.042168090672593486,-0.003942070149295522
release_parity,P12,false,seed_descriptive_only,false,NOT_APPLICABLE,supportive,APN,0.31266602390283393,0.3653328543692992,117900,0.3126660239028332,0.0006208594427075727,0.3653328543692992,0.0009257233500621389,5,0.31266602390283393,0
release_parity,P12,false,seed_descriptive_only,false,NOT_APPLICABLE,supportive,SLRH,0.31148446766075993,0.363836388978744,117900,0.31148446766075844,0.0010877310685891116,0.36383638897874404,0.0007818228199178736,5,0.31266602390283393,0.0037789722955033577
release_parity,P12,false,seed_descriptive_only,false,NOT_APPLICABLE,supportive,CFG,0.31095859562917855,0.3645497288265637,117900,0.31095859562917966,0.000911639945323252,0.3645497288265637,0.0008216601654349487,5,0.31266602390283393,0.005460869244257887
release_parity,P12,false,seed_descriptive_only,false,NOT_APPLICABLE,supportive,Full,0.3100934303119298,0.36372521445194045,117900,0.3100934303119297,0.0011783757156323983,0.36372521445194045,0.000802005259215014,5,0.31266602390283393,0.008227928186094153
strict_p12,P12,true,crossed_group_checkpoint,true,FAIL,strong,APN,0.2930869067395576,0.357075253601015,119560,0.2930869067395585,0.00044955045619012127,0.357075253601015,0.0005599637686720669,5,0.2930869067395576,0
strict_p12,P12,true,crossed_group_checkpoint,true,FAIL,strong,SLRH,0.2925233208838633,0.3552270933115041,119560,0.2925233208838633,0.0007557673613776021,0.35522709331150415,0.00047777661114105363,5,0.2930869067395576,0.00192293085339066
strict_p12,P12,true,crossed_group_checkpoint,true,FAIL,strong,CFG,0.29136792250480387,0.3552225170768355,119560,0.29136792250480326,0.0005265002379618236,0.3552225170768355,0.0005161845829196092,5,0.2930869067395576,0.005865100743928052
strict_p12,P12,true,crossed_group_checkpoint,true,FAIL,strong,Full,0.2906771950376615,0.35394053406715775,119560,0.29067719503766165,0.0007676395172699009,0.35394053406715775,0.0005128259877519332,5,0.2930869067395576,0.008221833341867596
strict_p12,P12,true,crossed_group_checkpoint,true,FAIL,strong,V01,0.2932354402453217,0.3566906973758742,119560,0.2932354402453224,0.0005048241532524253,0.3566906973758742,0.000524251412004172,5,0.2930869067395576,-0.0005067899737196145
strict_p12,P12,true,crossed_group_checkpoint,true,FAIL,strong,V02,0.2930239263930675,0.3562391884777624,119560,0.2930239263930678,0.0004751242654577532,0.35623918847776237,0.00041255420985774537,5,0.2930869067395576,0.00021488625060303403
strict_p12,P12,true,crossed_group_checkpoint,true,FAIL,strong,V03,0.29305552866888834,0.35687121216825635,119560,0.2930555286688879,0.00047730238179734903,0.35687121216825635,0.000578610600537372,5,0.2930869067395576,0.00010706063610394471
strict_p12,P12,true,crossed_group_checkpoint,true,FAIL,strong,V07,0.2907175163103831,0.3543695042432183,119560,0.29071751631038406,0.0007554350448027992,0.3543695042432183,0.0005074746090033044,5,0.2930869067395576,0.00808425888257091
strict_p12,P12,true,crossed_group_checkpoint,true,FAIL,strong,V08,0.29020391458994804,0.3544679125656965,119560,0.2902039145899481,0.0010699964836783193,0.35446791256569654,0.0004279025848809483,5,0.2930869067395576,0.00983664600265291
strict_p12,P12,true,crossed_group_checkpoint,true,FAIL,strong,V10,0.29046290662111407,0.3541192022295594,119560,0.29046290662111357,0.0010223945560706878,0.35411920222955934,0.00046352114584303974,5,0.2930869067395576,0.008952976260980784
strict_p12,P12,true,crossed_group_checkpoint,true,FAIL,strong,V11,0.2925535720779543,0.35524754035734346,119560,0.2925535720779546,0.0007568190926262008,0.3552475403573435,0.00047237243898459594,5,0.2930869067395576,0.001819715072011917
strict_p12,P12,true,crossed_group_checkpoint,true,FAIL,strong,V12,0.29326666571432414,0.35671846461284634,119560,0.2932666657143242,0.0004937703818146412,0.35671846461284634,0.0005018823718713072,5,0.2930869067395576,-0.0006133299394580485
release_parity,USHCN,false,seed_descriptive_only,false,NOT_APPLICABLE,safety-inconclusive,APN,0.15972453542727055,0.26227021931971767,1840,0.15972453542727064,0.014474859120617358,0.26227021931971767,0.016713174561642376,5,0.15972453542727055,0
release_parity,USHCN,false,seed_descriptive_only,false,NOT_APPLICABLE,safety-inconclusive,SLRH,0.32833984838532865,0.28669716931137035,1840,0.3283398483853282,0.30833296458455645,0.28669716931137035,0.030534450028439578,5,0.15972453542727055,-1.0556631923016981
release_parity,USHCN,false,seed_descriptive_only,false,NOT_APPLICABLE,safety-inconclusive,CFG,0.2039665694596397,0.29908212618336855,1840,0.2039665694596399,0.05059006967647498,0.2990821261833686,0.012763718171127017,5,0.15972453542727055,-0.27698959282629715
release_parity,USHCN,false,seed_descriptive_only,false,NOT_APPLICABLE,safety-inconclusive,Full,0.34298962826536167,0.2903477873834993,1840,0.3429896282653616,0.28602738395729954,0.2903477873834993,0.026155213982433607,5,0.15972453542727055,-1.1473822249527819
strict_ushcn,USHCN,true,crossed_group_checkpoint,true,FAIL,harmful,APN,0.18138673046814424,0.2762908484381826,1840,0.18138673046814435,0.020662430792664683,0.27629084843818263,0.009780160959372007,5,0.18138673046814424,0
strict_ushcn,USHCN,true,crossed_group_checkpoint,true,FAIL,harmful,SLRH,0.40017668945762297,0.30501584508736257,1840,0.4001766894576229,0.37826333397502265,0.3050158450873625,0.03476358996232946,5,0.18138673046814424,-1.2062070826504223
strict_ushcn,USHCN,true,crossed_group_checkpoint,true,FAIL,harmful,CFG,0.23429547380114873,0.31630099916501025,1840,0.23429547380114868,0.05571998065809983,0.31630099916501025,0.008184846914232853,5,0.18138673046814424,-0.29169026420208016
strict_ushcn,USHCN,true,crossed_group_checkpoint,true,FAIL,harmful,Full,0.44526786044598765,0.3151621880005183,1840,0.44526786044598754,0.38738337403793743,0.3151621880005183,0.029178367294033433,5,0.18138673046814424,-1.4547984259751963
strict_ushcn,USHCN,true,crossed_group_checkpoint,true,FAIL,harmful,V01,0.1851042327442605,0.30055162634135224,1840,0.18510423274426052,0.01808794583431504,0.30055162634135224,0.008720529297856593,5,0.18138673046814424,-0.02049489654795411
strict_ushcn,USHCN,true,crossed_group_checkpoint,true,FAIL,harmful,V02,0.22515958677334813,0.29571181672239144,1840,0.22515958677334838,0.06332041428123826,0.29571181672239144,0.018985434123943778,5,0.18138673046814424,-0.24132336578441954
strict_ushcn,USHCN,true,crossed_group_checkpoint,true,FAIL,harmful,V03,0.18686696912054349,0.28120888288983187,1840,0.1868669691205437,0.026432944673654795,0.2812088828898318,0.011242584892135513,5,0.18138673046814424,-0.03021300752406308
strict_ushcn,USHCN,true,crossed_group_checkpoint,true,FAIL,harmful,V07,0.4221401887823361,0.3260451399756379,1840,0.4221401887823368,0.35334090467479007,0.3260451399756379,0.03772177351300626,5,0.18138673046814424,-1.3272936652688263
strict_ushcn,USHCN,true,crossed_group_checkpoint,true,FAIL,harmful,V08,0.41017110173591154,0.3128101233720056,1840,0.4101711017359113,0.327054695354136,0.3128101233720056,0.02869088193377487,5,0.18138673046814424,-1.2613071015575044
strict_ushcn,USHCN,true,crossed_group_checkpoint,true,FAIL,harmful,V10,0.4288054809340643,0.3113968744931002,1840,0.4288054809340641,0.37091412876080887,0.3113968744931002,0.03248084139656805,5,0.18138673046814424,-1.364039970439693
strict_ushcn,USHCN,true,crossed_group_checkpoint,true,FAIL,harmful,V11,0.4094726114396881,0.30938091074925306,1840,0.40947261143968794,0.3990473538805025,0.30938091074925306,0.04445726487166921,5,0.18138673046814424,-1.2574562669654663
strict_ushcn,USHCN,true,crossed_group_checkpoint,true,FAIL,harmful,V12,0.18949342783192913,0.30255601326352916,1840,0.18949342783192907,0.02146179493055794,0.3025560132635291,0.012365967527784696,5,0.18138673046814424,-0.04469289094556238
